id,existing_score,open_to_buy,months_since_first_loan_issued,existing_credit_card_utilization,n_months_mortgage_loan_paid
4993,774.0,43112.0,201.0,11.0,12.0
4994,398.0,688.0,136.0,90.0,13.0
4995,313.0,303.0,24.0,106.0,8.0
4996,627.0,20527.0,92.0,0.0,9.0
4997,497.0,821.0,163.0,,9.0
4998,640.0,4537.0,41.0,64.0,12.0
4999,379.0,259.0,97.0,90.0,13.0
5000,531.0,4219.0,188.0,105.0,11.0
5001,248.0,262.0,17.0,,2.0
5002,585.0,1483.0,62.0,59.0,10.0
5003,457.0,2126.0,228.0,76.0,10.0
5004,737.0,4615.0,226.0,18.0,14.0
5005,569.0,17897.0,56.0,45.0,10.0
5006,531.0,8510.0,39.0,74.0,14.0
5007,299.0,,,,0.0
5008,533.0,1326.0,69.0,85.0,10.0
5009,248.0,,54.0,,5.0
5010,740.0,35160.0,248.0,10.0,13.0
5011,728.0,5704.0,125.0,3.0,10.0
5012,265.0,158.0,23.0,,10.0
5013,338.0,226.0,13.0,0.0,12.0
5014,376.0,2852.0,45.0,7.0,12.0
5015,466.0,132.0,,,13.0
5016,221.0,,,,3.0
5017,635.0,5116.0,50.0,0.0,7.0
5018,421.0,3580.0,206.0,23.0,9.0
5019,426.0,,,,2.0
5020,507.0,,,,2.0
5021,407.0,1492.0,0.0,34.0,10.0
5022,623.0,12136.0,169.0,81.0,11.0
5023,302.0,542.0,16.0,88.0,7.0
5024,385.0,,,,
5025,299.0,18.0,142.0,27.0,6.0
5026,450.0,2802.0,36.0,94.0,10.0
5027,736.0,33414.0,220.0,22.0,9.0
5028,440.0,4482.0,161.0,0.0,11.0
5029,639.0,14753.0,87.0,84.0,12.0
5030,357.0,286.0,46.0,,13.0
5031,230.0,321.0,68.0,,14.0
5032,345.0,,,,
5033,332.0,353.0,,,1.0
5034,478.0,4550.0,84.0,91.0,10.0
5035,630.0,16597.0,150.0,40.0,14.0
5036,580.0,618.0,143.0,85.0,12.0
5037,219.0,,49.0,,2.0
5038,246.0,116.0,73.0,84.0,13.0
5039,339.0,33.0,111.0,,12.0
5040,246.0,356.0,,,9.0
5041,211.0,,102.0,,0.0
5042,472.0,2320.0,315.0,,13.0
5043,589.0,51162.0,139.0,9.0,14.0
5044,315.0,778.0,34.0,111.0,10.0
5045,228.0,428.0,83.0,,4.0
5046,421.0,2830.0,39.0,65.0,9.0
5047,324.0,,,,
5048,731.0,48461.0,238.0,2.0,13.0
5049,450.0,,,,0.0
5050,603.0,11801.0,80.0,2.0,14.0
5051,524.0,8314.0,195.0,29.0,11.0
5052,237.0,59.0,16.0,64.0,1.0
5053,488.0,2541.0,30.0,9.0,13.0
5054,373.0,397.0,,,8.0
5055,219.0,,,,9.0
5056,726.0,9773.0,81.0,0.0,4.0
5057,418.0,2476.0,29.0,4.0,9.0
5058,384.0,,111.0,,
5059,248.0,324.0,,,12.0
5060,308.0,543.0,21.0,74.0,9.0
5061,417.0,572.0,374.0,104.0,11.0
5062,390.0,6075.0,16.0,0.0,14.0
5063,743.0,4555.0,,,2.0
5064,591.0,1193.0,55.0,7.0,13.0
5065,404.0,2225.0,16.0,4.0,13.0
5066,140.0,142.0,19.0,73.0,11.0
5067,665.0,569.0,,,14.0
5068,593.0,4506.0,44.0,8.0,6.0
5069,332.0,8334.0,25.0,19.0,9.0
5070,305.0,,125.0,,13.0
5071,550.0,2553.0,,,6.0
5072,509.0,,,,5.0
5073,522.0,2578.0,20.0,80.0,11.0
5074,484.0,6517.0,223.0,52.0,13.0
5075,471.0,4210.0,29.0,7.0,11.0
5076,453.0,2031.0,29.0,,7.0
5077,428.0,9846.0,46.0,0.0,8.0
5078,627.0,589.0,174.0,,0.0
5079,356.0,,,,
5080,398.0,211.0,62.0,93.0,9.0
5081,323.0,161.0,7.0,9.0,1.0
5082,269.0,,,,
5083,445.0,619.0,,,11.0
5084,712.0,32018.0,117.0,5.0,7.0
5085,598.0,26055.0,186.0,0.0,9.0
5086,716.0,13212.0,212.0,20.0,9.0
5087,455.0,16351.0,60.0,0.0,10.0
5088,754.0,24878.0,219.0,9.0,14.0
5089,228.0,97.0,30.0,,11.0
5090,494.0,4611.0,18.0,98.0,13.0
5091,626.0,482.0,163.0,92.0,9.0
5092,757.0,4624.0,76.0,0.0,6.0
5093,301.0,380.0,,,3.0
5094,692.0,41151.0,194.0,24.0,12.0
5095,733.0,44547.0,182.0,0.0,12.0
5096,234.0,213.0,25.0,78.0,12.0
5097,193.0,75.0,93.0,,9.0
5098,622.0,20183.0,233.0,14.0,11.0
5099,228.0,205.0,50.0,88.0,11.0
5100,534.0,11802.0,104.0,14.0,13.0
5101,334.0,,,,
5102,340.0,6368.0,52.0,,12.0
5103,281.0,,,,
5104,435.0,1790.0,46.0,16.0,14.0
5105,642.0,25598.0,79.0,27.0,12.0
5106,606.0,12252.0,191.0,11.0,5.0
5107,661.0,27104.0,182.0,53.0,10.0
5108,618.0,23600.0,68.0,76.0,10.0
5109,500.0,2305.0,62.0,59.0,8.0
5110,727.0,21929.0,200.0,0.0,9.0
5111,386.0,,,,
5112,354.0,1588.0,126.0,19.0,11.0
5113,521.0,,,,
5114,388.0,1434.0,375.0,,3.0
5115,789.0,37230.0,141.0,1.0,11.0
5116,353.0,836.0,142.0,93.0,9.0
5117,496.0,13961.0,24.0,2.0,11.0
5118,354.0,18.0,,,0.0
5119,272.0,878.0,0.0,,1.0
5120,438.0,7452.0,37.0,83.0,14.0
5121,347.0,0.0,83.0,103.0,11.0
5122,543.0,10147.0,113.0,96.0,13.0
5123,591.0,7461.0,142.0,83.0,12.0
5124,738.0,8473.0,139.0,,8.0
5125,309.0,,,,
5126,387.0,434.0,32.0,101.0,8.0
5127,244.0,,108.0,,0.0
5128,528.0,1632.0,67.0,91.0,1.0
5129,292.0,,,,0.0
5130,559.0,11277.0,98.0,95.0,13.0
5131,719.0,4108.0,92.0,25.0,4.0
5132,726.0,20044.0,184.0,80.0,13.0
5133,330.0,181.0,,,11.0
5134,217.0,107.0,67.0,,5.0
5135,391.0,2218.0,113.0,68.0,14.0
5136,435.0,993.0,71.0,75.0,12.0
5137,393.0,854.0,193.0,,14.0
5138,391.0,2393.0,123.0,30.0,11.0
5139,375.0,291.0,,,2.0
5140,634.0,6587.0,67.0,7.0,13.0
5141,680.0,4342.0,231.0,,4.0
5142,413.0,1363.0,130.0,94.0,12.0
5143,360.0,259.0,16.0,73.0,13.0
5144,700.0,12950.0,247.0,67.0,14.0
5145,379.0,1803.0,47.0,26.0,11.0
5146,541.0,1329.0,45.0,61.0,13.0
5147,548.0,2109.0,11.0,18.0,10.0
5148,237.0,,74.0,,2.0
5149,662.0,19493.0,111.0,,14.0
5150,414.0,1602.0,37.0,84.0,13.0
5151,700.0,15606.0,208.0,65.0,11.0
5152,658.0,5731.0,111.0,105.0,14.0
5153,190.0,,,,
5154,678.0,14016.0,142.0,48.0,10.0
5155,270.0,,,,
5156,566.0,210.0,55.0,,13.0
5157,521.0,2472.0,51.0,0.0,4.0
5158,316.0,,,,10.0
5159,462.0,,,,
5160,403.0,656.0,,,0.0
5161,346.0,,39.0,,5.0
5162,284.0,,,,
5163,252.0,0.0,,,2.0
5164,267.0,,,,3.0
5165,690.0,8985.0,133.0,0.0,0.0
5166,776.0,5281.0,195.0,10.0,12.0
5167,373.0,737.0,120.0,12.0,13.0
5168,706.0,2253.0,111.0,1.0,0.0
5169,704.0,14158.0,224.0,0.0,10.0
5170,238.0,,53.0,,10.0
5171,363.0,2321.0,38.0,100.0,13.0
5172,452.0,9101.0,198.0,11.0,5.0
5173,382.0,3511.0,151.0,101.0,10.0
5174,757.0,12074.0,135.0,3.0,9.0
5175,434.0,487.0,,,
5176,558.0,1375.0,26.0,,3.0
5177,351.0,,,,
5178,457.0,,,,
5179,485.0,910.0,117.0,,13.0
5180,572.0,4873.0,36.0,41.0,14.0
5181,703.0,2530.0,167.0,11.0,10.0
5182,494.0,28367.0,119.0,0.0,13.0
5183,382.0,6046.0,194.0,108.0,12.0
5184,502.0,3441.0,42.0,95.0,13.0
5185,725.0,35539.0,152.0,5.0,10.0
5186,693.0,4856.0,57.0,15.0,8.0
5187,419.0,9614.0,169.0,81.0,11.0
5188,606.0,36520.0,193.0,11.0,8.0
5189,668.0,4774.0,117.0,27.0,3.0
5190,232.0,1224.0,13.0,11.0,4.0
5191,718.0,15699.0,162.0,17.0,14.0
5192,461.0,3365.0,154.0,83.0,14.0
5193,426.0,2985.0,33.0,23.0,10.0
5194,385.0,3598.0,61.0,78.0,14.0
5195,345.0,2684.0,87.0,89.0,13.0
5196,340.0,140.0,,,11.0
5197,367.0,5565.0,63.0,87.0,12.0
5198,345.0,,226.0,,10.0
5199,279.0,0.0,15.0,,13.0
5200,229.0,,,,2.0
5201,458.0,2346.0,10.0,0.0,9.0
5202,343.0,1622.0,90.0,54.0,14.0
5203,265.0,,,,
5204,701.0,14973.0,99.0,8.0,4.0
5205,321.0,1171.0,90.0,13.0,14.0
5206,425.0,54.0,176.0,95.0,13.0
5207,539.0,929.0,156.0,19.0,11.0
5208,801.0,33072.0,253.0,7.0,13.0
5209,425.0,4547.0,48.0,33.0,11.0
5210,256.0,43.0,,,6.0
5211,312.0,1119.0,76.0,90.0,8.0
5212,421.0,2267.0,31.0,96.0,10.0
5213,792.0,6848.0,171.0,7.0,8.0
5214,438.0,12487.0,56.0,38.0,14.0
5215,454.0,1355.0,58.0,,0.0
5216,346.0,2705.0,32.0,1.0,8.0
5217,378.0,2339.0,100.0,94.0,11.0
5218,313.0,,,,
5219,476.0,3091.0,28.0,91.0,12.0
5220,599.0,9458.0,134.0,2.0,14.0
5221,518.0,7509.0,0.0,,6.0
5222,542.0,14336.0,60.0,22.0,9.0
5223,660.0,5298.0,181.0,65.0,10.0
5224,361.0,185.0,7.0,86.0,2.0
5225,401.0,540.0,44.0,92.0,6.0
5226,291.0,,,,
5227,291.0,1977.0,,,9.0
5228,730.0,37799.0,188.0,56.0,9.0
5229,585.0,1753.0,229.0,14.0,4.0
5230,381.0,1271.0,19.0,24.0,14.0
5231,544.0,3846.0,35.0,12.0,10.0
5232,449.0,2522.0,14.0,8.0,8.0
5233,410.0,284.0,22.0,4.0,9.0
5234,457.0,6901.0,246.0,36.0,13.0
5235,331.0,,,,
5236,206.0,,107.0,,0.0
5237,209.0,82.0,65.0,,0.0
5238,440.0,13127.0,18.0,38.0,12.0
5239,463.0,29798.0,162.0,10.0,11.0
5240,565.0,6553.0,64.0,48.0,13.0
5241,701.0,11173.0,140.0,43.0,12.0
5242,530.0,10462.0,62.0,5.0,11.0
5243,531.0,12287.0,143.0,87.0,13.0
5244,345.0,574.0,16.0,66.0,11.0
5245,303.0,803.0,47.0,37.0,13.0
5246,288.0,564.0,14.0,43.0,6.0
5247,460.0,427.0,142.0,93.0,13.0
5248,483.0,2511.0,,,0.0
5249,506.0,398.0,,,14.0
5250,333.0,0.0,210.0,83.0,5.0
5251,237.0,495.0,,,3.0
5252,470.0,11034.0,86.0,99.0,12.0
5253,570.0,4245.0,85.0,83.0,11.0
5254,758.0,31220.0,147.0,69.0,14.0
5255,387.0,883.0,188.0,94.0,12.0
5256,335.0,185.0,,,8.0
5257,414.0,44.0,35.0,73.0,1.0
5258,538.0,843.0,13.0,52.0,12.0
5259,670.0,8557.0,166.0,4.0,12.0
5260,375.0,1669.0,37.0,69.0,9.0
5261,338.0,1679.0,15.0,57.0,12.0
5262,510.0,4243.0,8.0,,8.0
5263,477.0,16753.0,182.0,62.0,11.0
5264,309.0,429.0,11.0,96.0,7.0
5265,114.0,97.0,42.0,100.0,7.0
5266,275.0,,143.0,,1.0
5267,667.0,3821.0,79.0,53.0,13.0
5268,610.0,321.0,187.0,,9.0
5269,299.0,1923.0,77.0,25.0,9.0
5270,328.0,1257.0,62.0,58.0,10.0
5271,374.0,,,,
5272,510.0,9472.0,57.0,28.0,9.0
5273,228.0,,,,5.0
5274,566.0,24399.0,273.0,9.0,7.0
5275,267.0,1967.0,4.0,23.0,4.0
5276,377.0,2468.0,41.0,0.0,12.0
5277,500.0,3787.0,52.0,60.0,11.0
5278,691.0,11818.0,124.0,6.0,11.0
5279,568.0,1644.0,17.0,64.0,13.0
5280,486.0,1979.0,87.0,59.0,7.0
5281,543.0,14899.0,141.0,107.0,9.0
5282,428.0,1377.0,11.0,73.0,13.0
5283,392.0,3364.0,4.0,0.0,10.0
5284,576.0,817.0,92.0,51.0,11.0
5285,206.0,,41.0,,7.0
5286,291.0,305.0,49.0,63.0,9.0
5287,657.0,4215.0,62.0,89.0,6.0
5288,399.0,1037.0,,,1.0
5289,335.0,138.0,,,1.0
5290,671.0,40068.0,78.0,17.0,13.0
5291,544.0,6202.0,69.0,87.0,11.0
5292,665.0,4602.0,38.0,11.0,13.0
5293,144.0,,78.0,,9.0
5294,403.0,494.0,25.0,96.0,13.0
5295,650.0,3233.0,123.0,94.0,10.0
5296,669.0,992.0,,,12.0
5297,579.0,,,,12.0
5298,363.0,3185.0,227.0,30.0,10.0
5299,430.0,226.0,5.0,,0.0
5300,624.0,12978.0,64.0,13.0,13.0
5301,680.0,8790.0,230.0,0.0,11.0
5302,550.0,28816.0,190.0,19.0,13.0
5303,481.0,1500.0,34.0,36.0,6.0
5304,330.0,2847.0,29.0,23.0,5.0
5305,293.0,128.0,4.0,54.0,1.0
5306,327.0,1301.0,45.0,6.0,9.0
5307,336.0,1659.0,46.0,7.0,9.0
5308,367.0,370.0,148.0,90.0,10.0
5309,253.0,,79.0,,12.0
5310,354.0,613.0,115.0,,13.0
5311,523.0,406.0,73.0,76.0,13.0
5312,238.0,,94.0,,5.0
5313,710.0,15614.0,117.0,42.0,7.0
5314,288.0,,,,
5315,416.0,2619.0,60.0,39.0,12.0
5316,491.0,179.0,,,0.0
5317,543.0,956.0,71.0,6.0,5.0
5318,559.0,47675.0,253.0,0.0,13.0
5319,339.0,,200.0,,14.0
5320,437.0,,,,
5321,293.0,1502.0,,,9.0
5322,395.0,0.0,52.0,106.0,10.0
5323,714.0,17426.0,132.0,19.0,11.0
5324,551.0,696.0,,,4.0
5325,403.0,2939.0,252.0,9.0,9.0
5326,271.0,323.0,,,2.0
5327,531.0,693.0,230.0,58.0,11.0
5328,748.0,16250.0,124.0,14.0,14.0
5329,570.0,,,,14.0
5330,333.0,,,,
5331,346.0,,,,
5332,437.0,5375.0,236.0,89.0,12.0
5333,371.0,2368.0,83.0,,14.0
5334,348.0,,,,
5335,466.0,5615.0,234.0,23.0,14.0
5336,286.0,107.0,3.0,103.0,1.0
5337,539.0,57141.0,198.0,4.0,10.0
5338,202.0,,,,0.0
5339,406.0,2161.0,,,8.0
5340,486.0,,,,
5341,634.0,3017.0,68.0,0.0,11.0
5342,515.0,15239.0,230.0,75.0,9.0
5343,335.0,161.0,4.0,32.0,0.0
5344,362.0,5606.0,76.0,11.0,12.0
5345,329.0,,,,
5346,528.0,9084.0,66.0,53.0,9.0
5347,468.0,9979.0,49.0,25.0,9.0
5348,610.0,7203.0,31.0,0.0,4.0
5349,272.0,545.0,0.0,,0.0
5350,540.0,2977.0,202.0,68.0,11.0
5351,503.0,1137.0,20.0,0.0,8.0
5352,533.0,5307.0,101.0,0.0,9.0
5353,395.0,923.0,6.0,0.0,3.0
5354,760.0,12427.0,163.0,25.0,14.0
5355,763.0,16545.0,76.0,0.0,9.0
5356,544.0,16032.0,53.0,0.0,12.0
5357,589.0,7986.0,25.0,0.0,5.0
5358,715.0,25804.0,66.0,0.0,12.0
5359,509.0,1975.0,12.0,9.0,11.0
5360,510.0,17440.0,24.0,13.0,10.0
5361,304.0,298.0,,,6.0
5362,637.0,13411.0,213.0,10.0,11.0
5363,390.0,2820.0,9.0,0.0,14.0
5364,553.0,1656.0,173.0,,3.0
5365,785.0,26080.0,99.0,7.0,11.0
5366,396.0,824.0,58.0,41.0,9.0
5367,592.0,4768.0,17.0,1.0,14.0
5368,596.0,29092.0,227.0,39.0,9.0
5369,724.0,23816.0,105.0,2.0,3.0
5370,306.0,733.0,40.0,,13.0
5371,218.0,221.0,72.0,97.0,6.0
5372,552.0,12157.0,58.0,83.0,12.0
5373,379.0,835.0,,,8.0
5374,518.0,3473.0,54.0,66.0,12.0
5375,358.0,1314.0,80.0,74.0,9.0
5376,309.0,792.0,212.0,10.0,9.0
5377,261.0,420.0,30.0,100.0,9.0
5378,637.0,7447.0,148.0,5.0,13.0
5379,319.0,846.0,39.0,91.0,9.0
5380,738.0,3089.0,206.0,,13.0
5381,296.0,438.0,70.0,8.0,0.0
5382,236.0,1365.0,81.0,64.0,13.0
5383,340.0,11580.0,158.0,65.0,14.0
5384,640.0,711.0,183.0,3.0,7.0
5385,193.0,,80.0,,13.0
5386,210.0,,56.0,,2.0
5387,335.0,10583.0,104.0,80.0,13.0
5388,531.0,6080.0,110.0,,13.0
5389,614.0,449.0,,,0.0
5390,674.0,1011.0,,,2.0
5391,688.0,10247.0,151.0,80.0,10.0
5392,387.0,1121.0,95.0,92.0,11.0
5393,597.0,8206.0,92.0,35.0,13.0
5394,250.0,,,,2.0
5395,363.0,0.0,2.0,,10.0
5396,292.0,152.0,,,0.0
5397,480.0,5530.0,78.0,55.0,9.0
5398,406.0,216.0,,,8.0
5399,364.0,61.0,47.0,97.0,5.0
5400,536.0,5517.0,199.0,42.0,14.0
5401,319.0,190.0,43.0,,2.0
5402,423.0,730.0,,,10.0
5403,654.0,20339.0,201.0,2.0,6.0
5404,582.0,24326.0,87.0,31.0,12.0
5405,322.0,,,,0.0
5406,635.0,1223.0,152.0,,0.0
5407,417.0,,,,8.0
5408,361.0,,,,11.0
5409,717.0,2436.0,176.0,99.0,9.0
5410,283.0,943.0,80.0,88.0,10.0
5411,619.0,10202.0,4.0,1.0,1.0
5412,675.0,13806.0,43.0,93.0,13.0
5413,478.0,2016.0,,,3.0
5414,493.0,3945.0,23.0,53.0,10.0
5415,272.0,9321.0,40.0,5.0,12.0
5416,419.0,,,,9.0
5417,548.0,2003.0,,,8.0
5418,414.0,0.0,,,4.0
5419,360.0,3888.0,13.0,22.0,13.0
5420,213.0,0.0,,,7.0
5421,487.0,2861.0,91.0,72.0,10.0
5422,325.0,,,,9.0
5423,542.0,29837.0,128.0,32.0,11.0
5424,644.0,1398.0,102.0,,10.0
5425,464.0,621.0,,,9.0
5426,528.0,4161.0,46.0,42.0,12.0
5427,756.0,27156.0,167.0,8.0,12.0
5428,360.0,2132.0,180.0,15.0,5.0
5429,393.0,7782.0,37.0,45.0,11.0
5430,350.0,2907.0,19.0,30.0,12.0
5431,718.0,307.0,126.0,,2.0
5432,372.0,1834.0,13.0,0.0,9.0
5433,297.0,229.0,,,11.0
5434,570.0,214.0,,,0.0
5435,462.0,5052.0,257.0,81.0,11.0
5436,371.0,1173.0,93.0,95.0,12.0
5437,382.0,1452.0,168.0,97.0,11.0
5438,377.0,351.0,34.0,56.0,10.0
5439,665.0,8509.0,71.0,33.0,12.0
5440,491.0,3988.0,39.0,64.0,14.0
5441,494.0,80684.0,190.0,91.0,9.0
5442,511.0,12421.0,23.0,84.0,10.0
5443,797.0,30813.0,237.0,16.0,14.0
5444,246.0,129.0,75.0,,7.0
5445,630.0,6715.0,159.0,,5.0
5446,350.0,885.0,39.0,95.0,9.0
5447,606.0,8479.0,256.0,19.0,14.0
5448,552.0,4678.0,37.0,81.0,13.0
5449,631.0,1601.0,142.0,80.0,10.0
5450,286.0,,,,6.0
5451,393.0,3402.0,142.0,,11.0
5452,252.0,114.0,87.0,,1.0
5453,263.0,,,,14.0
5454,332.0,1139.0,,,0.0
5455,646.0,9098.0,124.0,88.0,11.0
5456,501.0,2706.0,69.0,36.0,10.0
5457,554.0,6324.0,162.0,89.0,14.0
5458,309.0,0.0,124.0,102.0,10.0
5459,603.0,2606.0,15.0,14.0,9.0
5460,478.0,,,,
5461,548.0,1439.0,175.0,34.0,8.0
5462,348.0,3946.0,44.0,62.0,9.0
5463,685.0,7571.0,136.0,18.0,10.0
5464,692.0,10875.0,8.0,1.0,11.0
5465,309.0,2937.0,79.0,43.0,14.0
5466,415.0,5176.0,48.0,91.0,11.0
5467,270.0,,,,
5468,617.0,5926.0,60.0,67.0,14.0
5469,648.0,50677.0,103.0,0.0,13.0
5470,442.0,147.0,,,10.0
5471,328.0,0.0,90.0,95.0,13.0
5472,239.0,131.0,,,4.0
5473,335.0,,214.0,,0.0
5474,247.0,157.0,60.0,79.0,6.0
5475,450.0,559.0,126.0,,14.0
5476,431.0,5760.0,172.0,95.0,12.0
5477,255.0,3836.0,21.0,42.0,9.0
5478,374.0,1700.0,66.0,44.0,7.0
5479,382.0,,,,1.0
5480,355.0,3716.0,50.0,71.0,12.0
5481,547.0,3183.0,14.0,75.0,13.0
5482,580.0,22952.0,168.0,88.0,11.0
5483,480.0,1021.0,,,0.0
5484,155.0,370.0,,,5.0
5485,425.0,2577.0,42.0,39.0,10.0
5486,460.0,1899.0,,,3.0
5487,360.0,308.0,,,0.0
5488,409.0,146.0,215.0,101.0,9.0
5489,248.0,,,,7.0
5490,227.0,,37.0,,11.0
5491,559.0,3069.0,25.0,19.0,13.0
5492,689.0,7958.0,59.0,,12.0
5493,555.0,1287.0,,,9.0
5494,337.0,282.0,,,7.0
5495,365.0,3197.0,62.0,9.0,8.0
5496,680.0,11234.0,86.0,9.0,10.0
5497,394.0,,,,
5498,463.0,3489.0,,,9.0
5499,572.0,6631.0,44.0,40.0,6.0
5500,390.0,,,,14.0
5501,400.0,335.0,32.0,51.0,8.0
5502,432.0,7180.0,42.0,42.0,10.0
5503,532.0,733.0,38.0,,11.0
5504,413.0,,,,
5505,470.0,10206.0,103.0,0.0,8.0
5506,221.0,42.0,,,8.0
5507,490.0,2421.0,8.0,,0.0
5508,225.0,71.0,,,10.0
5509,283.0,1480.0,36.0,60.0,11.0
5510,534.0,1447.0,,,2.0
5511,336.0,757.0,,,11.0
5512,326.0,1159.0,47.0,29.0,12.0
5513,558.0,1280.0,104.0,89.0,12.0
5514,314.0,4451.0,230.0,,1.0
5515,352.0,,,,
5516,490.0,58889.0,212.0,54.0,14.0
5517,306.0,133.0,47.0,95.0,10.0
5518,332.0,0.0,94.0,102.0,8.0
5519,351.0,1965.0,81.0,48.0,11.0
5520,640.0,15533.0,206.0,2.0,7.0
5521,354.0,159.0,340.0,,9.0
5522,304.0,95.0,83.0,75.0,12.0
5523,492.0,,,,10.0
5524,394.0,149.0,,,0.0
5525,327.0,,53.0,,
5526,480.0,4543.0,87.0,32.0,10.0
5527,315.0,0.0,24.0,103.0,8.0
5528,319.0,,,,4.0
5529,604.0,11170.0,325.0,55.0,14.0
5530,204.0,,72.0,,0.0
5531,573.0,39687.0,92.0,70.0,13.0
5532,616.0,8851.0,132.0,1.0,2.0
5533,331.0,309.0,88.0,65.0,14.0
5534,435.0,3962.0,80.0,77.0,10.0
5535,563.0,3477.0,103.0,42.0,10.0
5536,445.0,306.0,,,2.0
5537,411.0,152.0,,,9.0
5538,287.0,771.0,53.0,7.0,12.0
5539,553.0,8631.0,158.0,65.0,14.0
5540,314.0,577.0,,,6.0
5541,393.0,1338.0,58.0,93.0,10.0
5542,493.0,8164.0,197.0,88.0,13.0
5543,369.0,,,,
5544,443.0,,,,13.0
5545,615.0,3386.0,48.0,39.0,11.0
5546,468.0,790.0,162.0,91.0,10.0
5547,668.0,199.0,121.0,94.0,7.0
5548,341.0,,,,
5549,375.0,2905.0,,,14.0
5550,690.0,6833.0,73.0,0.0,8.0
5551,484.0,324.0,,,4.0
5552,297.0,,60.0,,
5553,704.0,8167.0,108.0,10.0,9.0
5554,746.0,12762.0,114.0,5.0,14.0
5555,524.0,4950.0,,,2.0
5556,711.0,5784.0,110.0,38.0,3.0
5557,670.0,4293.0,149.0,10.0,5.0
5558,275.0,605.0,34.0,96.0,9.0
5559,655.0,295.0,,,8.0
5560,631.0,3322.0,107.0,95.0,14.0
5561,560.0,2071.0,172.0,72.0,9.0
5562,599.0,6645.0,92.0,77.0,13.0
5563,268.0,31.0,67.0,,0.0
5564,533.0,349.0,,,0.0
5565,182.0,0.0,83.0,,5.0
5566,478.0,6262.0,88.0,84.0,10.0
5567,532.0,1828.0,32.0,12.0,13.0
5568,361.0,,,,
5569,214.0,,60.0,,1.0
5570,258.0,,,,
5571,404.0,,207.0,,11.0
5572,388.0,717.0,26.0,102.0,13.0
5573,524.0,10238.0,110.0,23.0,9.0
5574,436.0,13896.0,37.0,84.0,10.0
5575,691.0,2579.0,96.0,0.0,3.0
5576,215.0,0.0,51.0,,5.0
5577,283.0,534.0,17.0,68.0,4.0
5578,432.0,2087.0,145.0,73.0,14.0
5579,638.0,27772.0,212.0,14.0,9.0
5580,291.0,437.0,12.0,59.0,10.0
5581,290.0,,,,
5582,563.0,35572.0,119.0,68.0,12.0
5583,402.0,10169.0,338.0,88.0,11.0
5584,305.0,,,,0.0
5585,261.0,482.0,46.0,78.0,10.0
5586,212.0,,51.0,,0.0
5587,383.0,,,,
5588,600.0,9486.0,119.0,88.0,11.0
5589,349.0,,,,10.0
5590,367.0,1587.0,144.0,17.0,13.0
5591,422.0,15860.0,135.0,0.0,9.0
5592,536.0,,46.0,,14.0
5593,295.0,366.0,73.0,,11.0
5594,620.0,1467.0,38.0,,0.0
5595,347.0,597.0,23.0,63.0,13.0
5596,557.0,592.0,64.0,64.0,7.0
5597,513.0,7464.0,48.0,35.0,11.0
5598,376.0,2760.0,52.0,41.0,9.0
5599,564.0,,,,
5600,176.0,,,,7.0
5601,745.0,23301.0,115.0,0.0,13.0
5602,231.0,511.0,49.0,134.0,13.0
5603,373.0,5329.0,29.0,53.0,9.0
5604,618.0,11545.0,210.0,97.0,13.0
5605,705.0,30088.0,250.0,4.0,8.0
5606,495.0,,,,
5607,585.0,6145.0,43.0,,9.0
5608,470.0,6484.0,40.0,43.0,14.0
5609,604.0,24507.0,191.0,5.0,8.0
5610,566.0,414.0,,,0.0
5611,538.0,3572.0,56.0,28.0,12.0
5612,453.0,,,,
5613,331.0,128.0,93.0,,13.0
5614,676.0,19574.0,218.0,0.0,14.0
5615,393.0,1163.0,46.0,82.0,9.0
5616,469.0,,70.0,,
5617,370.0,,,,
5618,375.0,9334.0,109.0,73.0,10.0
5619,414.0,,,,
5620,322.0,507.0,,,5.0
5621,471.0,13656.0,154.0,98.0,9.0
5622,613.0,739.0,146.0,81.0,7.0
5623,494.0,5122.0,73.0,54.0,12.0
5624,506.0,,,,
5625,386.0,,,,3.0
5626,293.0,517.0,10.0,90.0,6.0
5627,339.0,,,,
5628,418.0,7641.0,56.0,45.0,12.0
5629,514.0,3284.0,156.0,64.0,11.0
5630,442.0,1495.0,,,3.0
5631,453.0,,,,
5632,446.0,113.0,1.0,17.0,0.0
5633,304.0,,,,
5634,417.0,2011.0,36.0,45.0,12.0
5635,377.0,8409.0,177.0,95.0,13.0
5636,260.0,,,,
5637,578.0,971.0,,,0.0
5638,253.0,,,,
5639,316.0,401.0,78.0,8.0,8.0
5640,418.0,328.0,37.0,77.0,11.0
5641,357.0,1645.0,43.0,12.0,12.0
5642,742.0,11667.0,71.0,0.0,12.0
5643,453.0,11727.0,79.0,44.0,10.0
5644,392.0,0.0,,,5.0
5645,469.0,800.0,59.0,76.0,11.0
5646,270.0,412.0,0.0,,12.0
5647,754.0,18038.0,71.0,0.0,12.0
5648,494.0,5286.0,115.0,100.0,14.0
5649,585.0,,,,
5650,329.0,,,,12.0
5651,345.0,1411.0,1.0,,10.0
5652,554.0,39424.0,429.0,18.0,13.0
5653,382.0,108.0,16.0,99.0,12.0
5654,734.0,19861.0,186.0,29.0,12.0
5655,684.0,7072.0,45.0,9.0,9.0
5656,637.0,21859.0,77.0,72.0,14.0
5657,478.0,234.0,,,10.0
